"","city","corn_ave","soy_ave","rice_ave","wheat_ave","province","year","region","acre_total","acre_corn","acre_soy","share_corn","share_soy","acre_rice","acre_wheat","share_rice","share_wheat","name_city3"
"1","anshan",174.342506,4.792528,32.831646,0.143004,"Liaoning",2021,"鞍山",257.9,169.29258,6.3398,0.656427219852656,0.024582396277627,35.32633,0.0959,0.136976851492827,0.000371849554090733,"鞍山市"
"2","anyang",247.438374,4.210346,0.105134,306.143184,"Henan",2021,"安阳市",716.64,251.56,3.52,0.351027014958696,0.00491181067202501,0.01,290.63,1.39540075909801e-05,0.405545322616655,"安阳市"
"3","baicheng",484.41,27.2166,192.857,NA,"Jilin",2021,"白城市",990.711,543.113,29.015,0.548205278835099,0.029287047383142,207.188,NA,0.20913061427601,NA,"白城市"
"4","baishan",37.0794,23.504,0.6268,NA,"Jilin",2021,"白山市",82.798,40.091,25.567,0.484202516969009,0.308787651875649,0.394,NA,0.00475856904756154,NA,"白山市"
"5","baoding",479.6,5.28394614617467,1.22299889526761,374.120847379675,"Hebei",2021,"保定市（含定州市）",1048.94939,466.1,4.30973073087334,0.444349369420006,0.00410861646134647,NA,361.806893598801,NA,0.344923117404931,"保定市"
"6","baotou",129.477858386235,0.446420942186202,NA,NA,"Inner mongolia",2021,"包头市",296.46,141.826045440503,1.19553374719253,0.47839858814175,0.00403269833094694,NA,NA,NA,NA,"包头市"
"7","bayanzhuoer",326.931733786101,0.560323174268266,NA,NA,"Inner mongolia",2021,"巴彦淖尔市",757.92,358.693515320021,0.430392148989311,0.473260390700894,0.000567859601263076,NA,NA,NA,NA,"巴彦淖尔市"
"8","benxi",41.58457,1.202728,5.838478,NA,"Liaoning",2021,"本溪",60.7,39.86711,1.3714,0.656789291598023,0.0225930807248764,7.66051,NA,0.126202800658979,NA,"本溪市"
"9","binzhou",305.63391002,5.19197547,0.85178672,279.89439722,"Shandong",2021,"滨州市",662.252,297.103,7.976,0.448625296714846,0.0120437537372481,0.546,281.316,0.000824459571281023,0.424786939110792,"滨州市"
"10","buxin",325.974604,9.110294,2.633168,0.1659,"Liaoning",2021,"阜新",471.1,324.03659,11.25548,0.687829738908937,0.0238919125451072,3.23106,0.19927,0.00685854383358098,0.000422988749734664,"阜新市"
"11","cangzhou",514.633335859339,6.40017393120666,NA,311.049362837522,"Hebei",2021,"沧州市",982.45166,528.866679296693,4.40086965603329,0.538313182041642,0.00447947704219187,NA,304.049740801908,NA,0.309480611801204,"沧州市"
"12","changchun",1155.8542,22.6004,182.0486,NA,"Jilin",2021,"长春市",1641.071,1345.594,20.482,0.819948679856021,0.0124808737708484,178.778,NA,0.10893983258494,NA,"长春市"
"13","chaoyang",338.600794,3.770504,0.06453,0.743274,"Liaoning",2021,"朝阳",497.5,348.78301,4.70828,0.701071376884422,0.00946387939698493,0.09522,1.22486,0.000191396984924623,0.00246203015075377,"朝阳市"
"14","chengde",168.992666666667,4.52234843995384,4.36421943689255,NA,"Hebei",2021,"承德市",401.53453,174.333333333333,4.41174219976917,0.43416772483635,0.0109872050101623,NA,NA,NA,NA,"承德市"
"15","chifeng",623.678936446377,71.009003135102,NA,NA,"Inner mongolia",2021,"赤峰市",1371.21,622.419748925773,74.5534844749262,0.453920077103998,0.0543705810743257,NA,NA,NA,NA,"赤峰市"
"16","dalian",189.376314,32.809914,19.0451,0.14853,"Liaoning",2021,"大连",327.8,194.12365,39.07465,0.592201494813911,0.119202715070165,19.38023,0.1402,0.0591221171446004,0.000427699816961562,"大连市"
"17","dandong",117.271974,7.162056,49.09132,0.068712,"Liaoning",2021,"丹东",209.9,118.31157,8.42664,0.563656836588852,0.0401459742734636,48.3031,0.073,0.230124344926155,0.000347784659361601,"丹东市"
"18","daqing",447.433724258,61.9916408806667,103.633923254,2.55419016,"Heilongjiang",2021,"大庆",784.676,496.1019,64.0406,0.632237891817769,0.0816140674622392,112.2432,4.1689,0.143044007972717,0.00531289347450413,"大庆市"
"19","daxinganling",3.902502304,141.493467034,0.0024,9.604782052,"Heilongjiang",2021,"大兴安岭",183.2409,6.5423,152.1883,0.0357032736687061,0.830536741524409,0,10.7435,0,0.0586304695076263,"大兴安岭地区"
"20","dezhou",521.56511876,4.035148002,NA,544.15027948,"Shandong",2021,"德州市",1199.657,520.038,4.711,0.433488905578845,0.00392695578819613,NA,542.864,NA,0.452516010826428,"德州市"
"21","dongying",108.0975608,9.31556822,22.64428413,105.544301574,"Shandong",2021,"东营市",285.377,110.463,11.204,0.387077444923732,0.039260346839444,23.519,107.974,0.0824137894784793,0.37835564884346,"东营市"
"22","eerduosi",232.017631223473,7.11539014812678,NA,NA,"Inner mongolia",2021,"鄂尔多斯市",456.73,260.959923610526,9.03823512877553,0.571365847679211,0.0197890112950223,NA,NA,NA,NA,"鄂尔多斯市"
"23","fushun",92.95556,3.710354,13.784384,NA,"Liaoning",2021,"抚顺",137.7,101.90895,3.48945,0.740079520697168,0.0253409586056645,13.21553,NA,0.0959733478576616,NA,"抚顺市"
"24","haerbin",1125.496300536,205.898959974,554.201406526,0.34120002,"Heilongjiang",2021,"哈尔滨",2052.7003,1172.4788,191.7503,0.571188497414844,0.0934136853782308,603.3919,0.029,0.29395031510445,1.41277321389781e-05,"哈尔滨市"
"25","handan",389.896,4.41576064603679,0.65552843067648,388.785541461845,"Hebei",2021,"邯郸市",982.14645,388.6,3.72880323018394,0.395664007134578,0.0037965857639499,NA,374.325470226626,NA,0.381129993624297,"邯郸市"
"26","hebi",77.413754,0.472026,NA,89.776788,"Henan",2021,"鹤壁市",197.02,78.21,0.14,0.396964775149731,0.000710587757588062,NA,90.07,NA,0.45716170947112,"鹤壁市"
"27","hegang",97.395636826,71.829959812,220.98308669,0.00288,"Heilongjiang",2021,"鹤岗",550.6046,165.6846,75.1732,0.300913940784367,0.136528463438191,301.3672,2e-04,0.547338689142808,3.63237067035037e-07,"鹤岗市"
"28","heihe",312.111180492,1069.48415415,15.3309716,66.57012661,"Heilongjiang",2021,"黑河",1867.9194,529.6242,1213.6455,0.283536966316641,0.649731192898366,15.2721,49.4881,0.00817599517409584,0.026493702030184,"黑河市"
"29","hengshui",366.212253333333,4.98299111043964,NA,335.730517727274,"Hebei",2021,"衡水市",867.28194,368.681266666667,2.79495555219822,0.425099670202595,0.00322266084798009,NA,331.63562406337,NA,0.382385022410786,"衡水市"
"30","heze",542.8059724,22.804248486,3.077928206,616.2199799,"Shandong",2021,"菏泽市",1552.515,539.608,25.048,0.347570232815786,0.0161338215733825,3.046,615.053,0.00196197782308061,0.396165576500066,"菏泽市"
"31","huhehaote",186.166455104794,9.15536345628755,NA,NA,"Inner mongolia",2021,"呼和浩特市",411.21,201.673828179852,5.45163388719794,0.490439989737244,0.0132575421006248,NA,NA,NA,NA,"呼和浩特市"
"32","huludao",146.42428,3.671122,1.03198,0.00449,"Liaoning",2021,"葫芦岛",264.7,134.70541,4.32334,0.508898413298073,0.0163329807329052,1.35525,NA,0.00511994710993578,NA,"葫芦岛市"
"33","hulunbeier",504.034509073686,778.118277446615,NA,NA,"Inner mongolia",2021,"呼伦贝尔市",1871.34,586.68239391131,635.306633258111,0.313509246802457,0.339492894534457,NA,NA,NA,NA,"呼伦贝尔市"
"34","jiamusi",394.091473852,327.333575926,804.30351552,0.166431334,"Heilongjiang",2021,"佳木斯",1893.8767,468.0137,393.6549,0.247119413845685,0.207856667754559,1006.497,0.0191,0.531448008204547,1.00851338421345e-05,"佳木斯市"
"35","jiaozuo",121.882228,3.767232,3.014424,149.56453,"Henan",2021,"焦作市",348.65,126.39,1.96,0.362512548400975,0.00562168363688513,0.71,150.01,0.00203642621540227,0.430259572637315,"焦作市"
"36","jilin",489.9796,27.4368,138.077,NA,"Jilin",2021,"吉林市",673.802,495.711,23.224,0.735692384409663,0.0344670986432216,133.054,NA,0.197467505290872,NA,"吉林市"
"37","jinan",224.53014372,6.76987973,1.216577892,217.07051472,"Shandong",2021,"济南市",620.432,236.414,7.108,0.381047399231503,0.0114565335121335,0.806,219.51,0.00129909482425149,0.353801867086159,"济南市"
"38","jining",271.2038986,39.872189398,41.63166858,348.68039958,"Shandong",2021,"济宁市",966.708,268.903,46.765,0.278163623348519,0.048375517736483,40.044,346.365,0.0414230563934508,0.358293300562321,"济宁市"
"39","jinzhou",310.065554,3.887576,33.103286,0.06717,"Liaoning",2021,"锦州",476.9,312.13839,4.98562,0.65451539106731,0.0104542252044454,36.18295,0.071,0.0758711469909834,0.000148878171524429,"锦州市"
"40","jixi",258.260160524,97.438603736,366.306535026,0.190846914,"Heilongjiang",2021,"鸡西",958.5099,338.4763,92.5548,0.35312759941238,0.0965611309804938,498.6739,0.0263,0.520259519489574,2.74384229103946e-05,"鸡西市"
"41","jiyuan",19.838608,1.30042,0.07266,21.40776,"Henan",2021,"济源市",54.33,20.05,1.31,0.369041045462912,0.0241119087060556,0.04,21.82,0.000736241487207804,0.401619731271857,"济源市"
"42","kaifeng",186.689072,12.605628,6.64194,303.067332,"Henan",2021,"开封市",869.77,187.67,11.63,0.215769686238891,0.0133713510468285,5.27,302.67,0.00605907308828771,0.347988548696782,"开封市"
"43","langfang",205.873333333333,9.03890331324049,0.0818814810387592,53.6830624267177,"Hebei",2021,"廊坊市",372.9796,196.666666666667,5.36451656620245,0.527285317123689,0.0143828685702984,NA,55.1006055601431,NA,0.1477308827618,"廊坊市"
"44","liaocheng",391.32737936,5.512201182,0.024837404,416.2592688,"Shandong",2021,"聊城市",990.772,392.454,6.029,0.396109296588923,0.00608515379925957,0.007,412.272,7.06519764385752e-06,0.416111880432632,"聊城市"
"45","liaoyang",85.332994,0.953736,44.93427,0.004545,"Liaoning",2021,"辽阳",159.5,85.18447,0.93952,0.534071912225705,0.00589040752351097,46.08502,NA,0.288934294670846,NA,"辽阳市"
"46","liaoyuan",207.0458,4.1896,19.6386,NA,"Jilin",2021,"辽源市",231.26,200.216,4.983,0.865761480584623,0.0215471763383205,18.956,NA,0.0819683473147107,NA,"辽源市"
"47","linyi",253.62471356,17.989976192,37.491387984,293.99511948,"Shandong",2021,"临沂市",987.579,248.973,17.666,0.252104388610936,0.0178881891980287,38.062,291.158,0.0385407142112175,0.294819958707101,"临沂市"
"48","luohe",88.256266,31.12652,NA,145.424668,"Henan",2021,"漯河市",370.49,92.88,29.58,0.250695025506761,0.0798402116116494,NA,147.25,NA,0.397446624740209,"漯河市"
"49","luoyang",184.852282,20.44692,1.772188,240.250334,"Henan",2021,"洛阳市",662.74,196.55,14.41,0.296571807948819,0.021743066662643,1.24,232.07,0.00187102030962368,0.350167486495458,"洛阳市"
"50","mudanjiang",321.200571244,195.58621012,46.802773584,0.595152466,"Heilongjiang",2021,"牡丹江",708.1175,366.093,212.9262,0.5169947077992,0.300693317140164,50.2788,0.6658,0.0710034704692371,0.000940239437663947,"牡丹江市"
"51","nanyang",449.447418,38.765168,36.684,722.65116,"Henan",2021,"南阳市",2024.2,467.86,27.25,0.231133287224583,0.0134621084873036,32.85,728.37,0.0162286335342357,0.359831044363205,"南阳市"
"52","panjin",14.442794,1.861712,107.143106,0.0425266666666667,"Liaoning",2021,"盘锦",133.6,11.49784,0.79859,0.0860616766467066,0.00597747005988024,108.35604,0.0219,0.811048203592814,0.000163922155688623,"盘锦市"
"53","pingdingshan",198.538358,12.58114,1.288106,219.178658,"Henan",2021,"平顶山市",557.88,197.36,12.71,0.353767835376784,0.0227826772782677,1.09,220.57,0.00195382519538252,0.395371764537176,"平顶山市"
"54","puyang",148.079974,21.085128,21.860402,231.107864,"Henan",2021,"濮阳市",518.6,153.27,22.62,0.295545699961435,0.0436174315464713,17.57,231.6,0.0338796760509063,0.446586964905515,"濮阳市"
"55","qingdao",239.85169892,4.632379362,0.221321234,226.6504555,"Shandong",2021,"青岛市",667.938,240.14,4.965,0.359524386994002,0.00743332464989265,0.426,227.582,0.000637783746395624,0.340723240779833,"青岛市"
"56","qinhuangdao",85.8374533333333,3.96750326684192,6.19019445305503,5.13510205717531,"Hebei",2021,"秦皇岛市",197.21709,85.8872666666667,3.76751633420958,0.435496065106055,0.0191033968415697,NA,6.74553322934826,NA,0.0342035937623269,"秦皇岛市"
"57","qiqihaer",1153.154178014,633.987018046,400.68365242,1.600333184,"Heilongjiang",2021,"齐齐哈尔",2503.2208,1247.1368,684.7692,0.498212862405106,0.273555253296074,446.81,1.0574,0.178494042555095,0.000422415793285195,"齐齐哈尔市"
"58","qitaihe",131.423509276,32.258542714,22.872749082,0.054190052,"Heilongjiang",2021,"七台河",226.1184,145.2565,38.8357,0.642391331267159,0.171749402083156,24.7513,0.0897,0.10946168025247,0.000396694828903796,"七台河市"
"59","rizhao",63.848225486,3.10642264,2.217221354,54.224356958,"Shandong",2021,"日照市",210.295,63.591,3.188,0.302389500463634,0.0151596566727692,2.059,51.876,0.00979100786989705,0.246682041893531,"日照市"
"60","sanmenxia",58.193014,16.048066,NA,76.570728,"Henan",2021,"三门峡市",260.15,60.27,14.67,0.231674034211032,0.056390543916971,NA,75.17,NA,0.288948683451855,"三门峡市"
"61","shangqiu",428.31791,49.328222,0.35,600.040402,"Henan",2021,"商丘市",1466.41,445.71,34.98,0.303946372433358,0.0238541744805341,NA,605.58,NA,0.412967723897137,"商丘市"
"62","shenyang",394.047604,8.945172,119.371514,1.457286,"Liaoning",2021,"沈阳",676.5,398.0636,8.98715,0.588416260162602,0.0132847745750185,121.88285,0.78505,0.180166814486327,0.00116045824094605,"沈阳市"
"63","shijiazhuang",375.105333333333,21.3166305912902,0.0220139322317754,363.025468567292,"Hebei",2021,"石家庄市（含辛集市）",896.93572,371.626666666667,27.1731529564512,0.414329208191939,0.0302955410856546,NA,355.612491971741,NA,0.396474891168054,"石家庄市"
"64","shuangyashan",261.188266274,190.463606406667,277.122515058,0.1445125525,"Heilongjiang",2021,"双鸭山",1012.8079,375.0153,211.4756,0.370272881955206,0.208801293907759,408.6922,0.0509,0.403523906162264,5.02563220527802e-05,"双鸭山市"
"65","siping",688.1376,17.3568,48.002,NA,"Jilin",2021,"四平市",618.866,518.272,11.27,0.837454311595725,0.0182107273626278,40.83,NA,0.0659755100457934,NA,"四平市"
"66","songyuan",790.753,36.8448,129.307,NA,"Jilin",2021,"松原市",1230.822,816.169,34.718,0.663108881706697,0.0282071656177741,133.009,NA,0.108065179205442,NA,"松原市"
"67","suihua",999.093401238,398.09835928,331.596267376,2.210671198,"Heilongjiang",2021,"绥化",1875.3117,1068.8521,388.8461,0.569959703232268,0.207350116783253,327.0717,0.868,0.174409246206911,0.000462856388087378,"绥化市"
"68","taian",173.8738114,18.19969526,0.141172748,167.25818376,"Shandong",2021,"泰安市",530.183,173.492,20.396,0.327230409122888,0.0384697359213705,0.067,166.592,0.00012637146042027,0.3142160348408,"泰安市"
"69","tangshan",287.031423466667,3.71991627936917,63.4387951365003,99.1867707969941,"Hebei",2021,"唐山市",723.19138,291.687117333333,3.83958139684583,0.403333232944969,0.00530921897443777,NA,101.247817980243,NA,0.140001417024969,"唐山市"
"70","tieling",421.247252,5.739528,36.907506,0.10032,"Liaoning",2021,"铁岭",543.2,438.45745,6.7572,0.807174981590574,0.012439617083947,38.50006,0.12507,0.0708763991163476,0.000230246686303387,"铁岭市"
"71","tonghua",181.5308,8.1052,76.4366,NA,"Jilin",2021,"通化市",230.569,143.627,7.565,0.622924157193725,0.0328101349270717,57.294,NA,0.248489606148268,NA,"通化市"
"72","tongliao",1096.54271825701,48.139559295422,NA,NA,"Inner mongolia",2021,"通辽市",1469.68,1175.93450725981,33.8575157204925,0.800129624993065,0.0230373385502235,NA,NA,NA,NA,"通辽市"
"73","weifang",340.2548108,4.743545344,0.53959022,331.185777,"Shandong",2021,"潍坊市",981.139,338.814,4.914,0.345327216632913,0.00500846465179755,1.512,326.715,0.00154106604670694,0.33299563058853,"潍坊市"
"74","weihai",63.235260574,4.822342852,0.4358651675,47.60193033,"Shandong",2021,"威海市",195.243,63.502,4.491,0.325245975527932,0.0230021050690678,0.621,47.136,0.00318065180313763,0.2414222276855,"威海市"
"75","wuhai",4.63242090501028,0.0478213498877012,NA,NA,"Inner mongolia",2021,"乌海市",5.66,4.6339202965709,0.0478213498877012,0.818713833316413,0.00844900174694368,NA,NA,NA,NA,"乌海市"
"76","wulanchabu",53.1708286717545,22.784603813275,NA,NA,"Inner mongolia",2021,"乌兰察布市",662.24,64.355323391468,22.1412849980057,0.097178248658293,0.0334339287841351,NA,NA,NA,NA,"乌兰察布市"
"77","xilinguole",10.4188590539043,0.79461299061666,NA,NA,"Inner mongolia",2021,"锡林郭勒盟",236.39,12.7924284550791,0.908605647866323,0.0541157767040867,0.00384367210062322,NA,NA,NA,NA,"锡林郭勒盟"
"78","xingan",666.38033998324,135.517480439065,NA,NA,"Inner mongolia",2021,"兴安盟",1125.66,755.834526918864,110.323854190927,0.671458990209179,0.0980081500550137,NA,NA,NA,NA,"兴安盟"
"79","xingtai",391.132216133333,5.93208584621831,0.49741505543436,362.183303092614,"Hebei",2021,"邢台市",961.15071,391.261080666667,5.83042923109156,0.407075681884131,0.00606609262255194,NA,355.999288619751,NA,0.370388623673546,"邢台市"
"80","xinxiang",296.81278,13.373934,16.78846,384.97944,"Henan",2021,"新乡市",878.29,309.27,9.23,0.352127429436746,0.0105090573728495,8.67,387.76,0.0098714547586788,0.441494267269353,"新乡市"
"81","xinyang",20.090106,5.414106,484.34188,311.27268,"Henan",2021,"信阳市",1187.7,15.62,3.61,0.0131514692262356,0.00303948808621706,500,312.8,0.420981729392944,0.263366169908226,"信阳市"
"82","xuchang",153.287992,40.70865,NA,230.653612,"Henan",2021,"许昌市",540.13,153.59,41.55,0.284357469498084,0.07692592524022,NA,230.49,NA,0.426730601892137,"许昌市"
"83","yanbian",198.201,115.7688,36.5196,NA,"Jilin",2021,"延边朝鲜族自治州",383.845,229.141,94.558,0.596962315517982,0.246344227487658,38.729,NA,0.100897497687869,NA,"延边朝鲜族自治州"
"84","yantai",158.04148362,8.754783586,0.160692816,125.30912012,"Shandong",2021,"烟台市",443.852,161.426,7.83,0.36369330317313,0.0176410154736263,0.133,121.506,0.000299649432693781,0.273753413299929,"烟台市"
"85","yichun",45.961778136,139.546530626,53.203412936,0.2385431225,"Heilongjiang",2021,"伊春",292.2433,85.1372,129.7442,0.29132301749946,0.443959536454728,60.2587,0.0587,0.206193606491577,0.000200860036825481,"伊春市"
"86","yingkou",47.67808,1.86291,43.304514,0.001075,"Liaoning",2021,"营口",112.1,47.81605,2.42287,0.426548171275647,0.0216134701159679,41.05876,NA,0.366269045495094,NA,"营口市"
"87","zaozhuang",126.38681978,8.65495102,1.817096398,139.81970534,"Shandong",2021,"枣庄市",401.145,127.975,8.858,0.319024292961398,0.0220817908736243,1.803,139.883,0.00449463410986052,0.348709319572723,"枣庄市"
"88","zhangjiakou",187.724,6.00020379509627,0.541624003220128,NA,"Hebei",2021,"张家口市",663.36406,190.42,3.66101897548137,0.287052029921549,0.00551886844077951,NA,NA,NA,NA,"张家口市"
"89","zhengzhou",134.48141,4.919014,0.16,152.39653,"Henan",2021,"郑州市",373.04,127.87,3.31,0.342778254342698,0.00887304310529702,0.17,136.09,0.000455715204803774,0.364813424833798,"郑州市"
"90","zhoukou",515.807832,94.076118,0.220334,730.92172,"Henan",2021,"周口市",1843.81,542.82,73.65,0.294401266941822,0.0399444628242606,0.14,734.61,7.59297324561641e-05,0.398419576854448,"周口市"
"91","zhumadian",437.913624,24.406454,27.874234,779.794534,"Henan",2021,"驻马店市",1835.27,438.83,24.36,0.239109231884137,0.0132732513472132,27.54,793.16,0.0150059664245588,0.432176192058934,"驻马店市"
"92","zibo",113.82855508,1.095311634,0.377628496,97.996964012,"Shandong",2021,"淄博市",253.506,114.108,1.673,0.450119523798253,0.00659944932269848,0.39,96.233,0.00153842512603252,0.379608372188429,"淄博市"
