"","province","year","corn_weight","soy_weight","acre_state","stateprop","policy_soy","target_soy","policy16","policy19","policy21"
"1","Inner mongolia",2010,0.0764797646776472,0.0953521689095564,648.5,9.26097822206355,0,0,0,0,0
"2","Inner mongolia",2011,0.0795904799100821,0.0871648602395893,651,9.15624692330413,0,0,0,0,0
"3","Inner mongolia",2012,0.0808939816955849,0.0859907692736729,654.1,9.14313670673749,0,0,0,0,0
"4","Inner mongolia",2013,0.0873001013260496,0.0831161181061777,660.2,9.15520301752829,0,0,0,0,0
"5","Inner mongolia",2014,0.0908375849194847,0.0740746187443933,660.3,8.9763458401305,0,0,0,0,0
"6","Inner mongolia",2015,0.0893825437508034,0.0814620125728163,663.4,8.76597206622709,0,0,0,0,0
"7","Inner mongolia",2016,0.0870033682228098,0.121523984997039,669.1,7.4699682936632,1,1131,1,0,0
"8","Inner mongolia",2017,0.0876506521380221,0.119954395497768,671.8,7.45268576246367,1,565,1,0,0
"9","Inner mongolia",2018,0.088822480839115,0.130063712438189,694.6,7.8716243016285,1,283,1,0,0
"10","Inner mongolia",2019,0.0914710505981722,0.127500884083286,741,8.33989870568374,1,616,1,1,0
"11","Inner mongolia",2020,0.0926684809871972,0.121598785732355,748.2,8.42301976854145,1,304,1,1,0
"12","Inner mongolia",2021,0.0970496858568652,0.106138745633006,751.1,8.5905779282422,0,0,0,0,-1
"13","Jilin",2010,0.0937443269405325,0.0442471640949764,114.3,2.18906806603593,0,0,0,0,0
"14","Jilin",2011,0.0934418947161295,0.0386385244343031,117.7,2.2537962200563,0,0,0,0,0
"15","Jilin",2012,0.093757315200201,0.0320704993237308,117.5,2.21068277172584,0,0,0,0,0
"16","Jilin",2013,0.0963451033085158,0.0315882482880495,121.6,2.24640224640225,0,0,0,0,0
"17","Jilin",2014,0.0995760086629996,0.0314122266503919,123.8,2.20469075561413,0,0,0,0,0
"18","Jilin",2015,0.0996870351764067,0.0248074883570803,125.3,2.20633551090842,0,0,0,0,0
"19","Jilin",2016,0.0960215131650429,0.0246759228795157,130.1,2.1457316268637,1,1131,1,0,0
"20","Jilin",2017,0.0982098634401755,0.0267077430622938,130.9,2.15076730965134,1,565,1,0,0
"21","Jilin",2018,0.100438878616476,0.0331875237732978,103.7,1.70533967011462,1,283,1,0,0
"22","Jilin",2019,0.102208840691695,0.0369707555965151,108.4,1.77208154190711,1,616,1,1,0
"23","Jilin",2020,0.103896103896104,0.0324917783961548,108.8,1.76881807836124,1,304,1,1,0
"24","Jilin",2021,0.101587565379165,0.0300282814839461,110.6,1.78759030886845,0,0,0,0,-1
"25","Shandong",2010,0.0909320279014526,0.0184245754949623,10.2,0.0942855558225952,0,0,0,0,0
"26","Shandong",2011,0.0893186690000805,0.0198009761044559,10.2,0.0938759732729582,0,0,0,0,0
"27","Shandong",2012,0.086158071128011,0.0204135700043225,12.3,0.113186712064047,0,0,0,0,0
"28","Shandong",2013,0.0842740869641834,0.021485899418305,13.7,0.124813235669254,0,0,0,0,0
"29","Shandong",2014,0.0842191178609718,0.0219856174355505,14.6,0.132271537158336,0,0,0,0,0
"30","Shandong",2015,0.0832596611165473,0.0210879021226234,14.5,0.131501383031787,0,0,0,0,0
"31","Shandong",2016,0.0918859331425881,0.0164111337764032,14,0.124128881244126,1,1131,1,0,0
"32","Shandong",2017,0.094344206231279,0.0144939840869396,14.8,0.133239705432219,1,565,1,0,0
"33","Shandong",2018,0.0933940341940798,0.0182460060859642,12.8,0.115556839520439,1,283,1,0,0
"34","Shandong",2019,0.0931714631056508,0.019664155512929,13,0.118904976630599,1,616,1,1,0
"35","Shandong",2020,0.0938123268781974,0.0190943587149001,5.7,0.0523459239055569,1,304,1,1,0
"36","Shandong",2021,0.0899497278657194,0.0217220809468356,5.7,0.052061450779095,0,0,0,0,-1
"37","Hebei",2010,0.0925720228553143,0.0173677164799549,89.1,1.02197650945128,0,0,0,0,0
"38","Hebei",2011,0.0905082330352964,0.017252963174241,92.5,1.05428724483399,0,0,0,0,0
"39","Hebei",2012,0.0870430319328115,0.0177921552769915,92.8,1.0567309663167,0,0,0,0,0
"40","Hebei",2013,0.0855984845147363,0.0183344378175392,95.4,1.09038540666575,0,0,0,0,0
"41","Hebei",2014,0.0854151290021927,0.017985558611156,98,1.12474320276365,0,0,0,0,0
"42","Hebei",2015,0.0852088049885491,0.0178140514286593,97.8,1.11901874184764,0,0,0,0,0
"43","Hebei",2016,0.0836645720908334,0.00904125814305455,96.7,1.14201358134042,1,1131,1,0,0
"44","Hebei",2017,0.0835892355951791,0.00850232874053949,92.8,1.10718717190035,1,565,1,0,0
"45","Hebei",2018,0.0815972428263878,0.0104127044503614,95.8,1.16870600578253,1,283,1,0,0
"46","Hebei",2019,0.0825547850140853,0.0100196105747077,99.3,1.22099671695747,1,616,1,1,0
"47","Hebei",2020,0.0828100803842547,0.00905641285099924,98.2,1.21393428437214,1,304,1,1,0
"48","Hebei",2021,0.0797268039571417,0.00793782826722437,100.8,1.24487477152596,0,0,0,0,-1
"49","Henan",2010,0.0906458749357694,0.0531952370887057,26.8,0.188087334283128,0,0,0,0,0
"50","Henan",2011,0.090186245777644,0.0564999683082969,26.8,0.187956741896119,0,0,0,0,0
"51","Henan",2012,0.0884960804800484,0.0642107171242523,27.6,0.193518531502854,0,0,0,0,0
"52","Henan",2013,0.0882004713864047,0.0653707385317723,29.8,0.208049708520962,0,0,0,0,0
"53","Henan",2014,0.0884590312309756,0.0587802761805321,30,0.208647753906929,0,0,0,0,0
"54","Henan",2015,0.0877219676122069,0.0562548992483977,29.8,0.206585788561525,0,0,0,0,0
"55","Henan",2016,0.0953084821266886,0.044890438902415,29.6,0.198621726264368,1,1131,1,0,0
"56","Henan",2017,0.0943159036769735,0.041868814282942,29,0.196843712879688,1,565,1,0,0
"57","Henan",2018,0.0930213790140541,0.0458349182198555,28.1,0.190078060527348,1,283,1,0,0
"58","Henan",2019,0.092076610607958,0.0422966876346218,24.8,0.168546962076934,1,616,1,1,0
"59","Henan",2020,0.0925255002508221,0.0379661016949153,21.9,0.149101307189542,1,304,1,1,0
"60","Henan",2021,0.0889410537297861,0.0395940775245383,21.9,0.148927922965502,0,0,0,0,-1
"61","Liaoning",2010,0.0643998018467636,0.0144907113835459,146.6,3.59860572438509,0,0,0,0,0
"62","Liaoning",2011,0.0636401852023004,0.0152373708563098,156.1,3.76534722724751,0,0,0,0,0
"63","Liaoning",2012,0.0629949357404267,0.0161467992247305,154.9,3.67881062081414,0,0,0,0,0
"64","Liaoning",2013,0.061830917661571,0.0169206980340181,155.1,3.68513590572135,0,0,0,0,0
"65","Liaoning",2014,0.0627663414450185,0.0156472889307196,154.8,3.71748997382388,0,0,0,0,0
"66","Liaoning",2015,0.0634009543721947,0.0164614746161295,161.2,3.81999573449608,0,0,0,0,0
"67","Liaoning",2016,0.0631496505016117,0.00914654208067382,157.7,3.71697268248992,1,1131,1,0,0
"68","Liaoning",2017,0.0634920634920635,0.00901174073355327,152.6,3.65745512067684,1,565,1,0,0
"69","Liaoning",2018,0.064395764548387,0.00873668695321415,158.2,3.76030995222362,1,283,1,0,0
"70","Liaoning",2019,0.0647949210470859,0.00899085911463077,160.7,3.81067558274644,1,616,1,1,0
"71","Liaoning",2020,0.0654148985927303,0.0104427017455097,161.4,3.76416810485564,1,304,1,1,0
"72","Liaoning",2021,0.0628794068903754,0.0123464125294104,161.6,3.73304996650419,0,0,0,0,-1
"73","Heilongjiang",2010,0.134411894117249,0.416625566593861,2800.9,23.0409173919481,0,0,0,0,0
"74","Heilongjiang",2011,0.13676706905136,0.405869303416366,2853.9,23.3487961122156,0,0,0,0,0
"75","Heilongjiang",2012,0.148176695270884,0.371432156950235,2879.7,23.5327286099534,0,0,0,0,0
"76","Heilongjiang",2013,0.149992841094321,0.357823429791621,2885.3,23.6484492820143,0,0,0,0,0
"77","Heilongjiang",2014,0.146543689424999,0.378932043118281,2892.3,23.6571540745467,0,0,0,0,0
"78","Heilongjiang",2015,0.1527074211751,0.368976806381703,2902,23.6050105742639,0,0,0,0,0
"79","Heilongjiang",2016,0.147776248596574,0.424175824175824,2908.9,19.6156310057655,1,1131,1,0,0
"80","Heilongjiang",2017,0.138276846152032,0.45307345235785,2917.4,19.755410493242,1,565,1,0,0
"81","Heilongjiang",2018,0.149959292762182,0.424079973373906,2956.4,20.1481602638807,1,283,1,0,0
"82","Heilongjiang",2019,0.142296913339518,0.458598111812424,2965.5,20.0777245922506,1,616,1,1,0
"83","Heilongjiang",2020,0.132819410483154,0.488955223880597,2972.1,19.9334679177202,1,304,1,1,0
"84","Heilongjiang",2021,0.150590201319355,0.461986358343038,3042.9,20.1984732824427,0,0,0,0,-1
